step,prey,predator,a,b,c,d
0,40,9,1.1,0.4,0.1,0.4
1,30.0,9.054,1.1,0.4,0.1,0.4
2,22.435,9.072,1.1,0.4,0.1,0.4
3,16.762,9.063,1.1,0.4,0.1,0.4
4,12.529,9.033,1.1,0.4,0.1,0.4
5,9.38,8.988,1.1,0.4,0.1,0.4
6,7.04,8.932,1.1,0.4,0.1,0.4
7,5.299,8.868,1.1,0.4,0.1,0.4
8,4.002,8.798,1.1,0.4,0.1,0.4
9,3.034,8.724,1.1,0.4,0.1,0.4
10,2.309,8.647,1.1,0.4,0.1,0.4
11,1.764,8.569,1.1,0.4,0.1,0.4
12,1.354,8.489,1.1,0.4,0.1,0.4
13,1.043,8.409,1.1,0.4,0.1,0.4
14,0.807,8.328,1.1,0.4,0.1,0.4
15,0.627,8.248,1.1,0.4,0.1,0.4
16,0.489,8.167,1.1,0.4,0.1,0.4
17,0.383,8.087,1.1,0.4,0.1,0.4
18,0.301,8.007,1.1,0.4,0.1,0.4
19,0.238,7.928,1.1,0.4,0.1,0.4
20,0.189,7.85,1.1,0.4,0.1,0.4
21,0.15,7.772,1.1,0.4,0.1,0.4
22,0.12,7.695,1.1,0.4,0.1,0.4
23,0.1,7.618,1.1,0.4,0.1,0.4
24,0.1,7.542,1.1,0.4,0.1,0.4
25,0.1,7.467,1.1,0.4,0.1,0.4
26,0.1,7.393,1.1,0.4,0.1,0.4
27,0.1,7.319,1.1,0.4,0.1,0.4
28,0.1,7.246,1.1,0.4,0.1,0.4
29,0.1,7.174,1.1,0.4,0.1,0.4
30,0.1,7.103,1.1,0.4,0.1,0.4
31,0.1,7.032,1.1,0.4,0.1,0.4
32,0.1,6.962,1.1,0.4,0.1,0.4
33,0.1,6.892,1.1,0.4,0.1,0.4
34,0.1,6.824,1.1,0.4,0.1,0.4
35,0.1,6.756,1.1,0.4,0.1,0.4
36,0.1,6.689,1.1,0.4,0.1,0.4
37,0.1,6.622,1.1,0.4,0.1,0.4
38,0.1,6.556,1.1,0.4,0.1,0.4
39,0.1,6.491,1.1,0.4,0.1,0.4
40,0.1,6.426,1.1,0.4,0.1,0.4
41,0.1,6.362,1.1,0.4,0.1,0.4
42,0.1,6.299,1.1,0.4,0.1,0.4
43,0.1,6.236,1.1,0.4,0.1,0.4
44,0.1,6.174,1.1,0.4,0.1,0.4
45,0.1,6.112,1.1,0.4,0.1,0.4
46,0.1,6.051,1.1,0.4,0.1,0.4
47,0.1,5.991,1.1,0.4,0.1,0.4
48,0.1,5.931,1.1,0.4,0.1,0.4
49,0.1,5.872,1.1,0.4,0.1,0.4
50,0.1,5.814,1.1,0.4,0.1,0.4
51,0.1,5.756,1.1,0.4,0.1,0.4
52,0.1,5.699,1.1,0.4,0.1,0.4
53,0.1,5.642,1.1,0.4,0.1,0.4
54,0.1,5.586,1.1,0.4,0.1,0.4
55,0.1,5.53,1.1,0.4,0.1,0.4
56,0.1,5.475,1.1,0.4,0.1,0.4
57,0.1,5.42,1.1,0.4,0.1,0.4
58,0.1,5.366,1.1,0.4,0.1,0.4
59,0.1,5.313,1.1,0.4,0.1,0.4
60,0.1,5.26,1.1,0.4,0.1,0.4
61,0.1,5.208,1.1,0.4,0.1,0.4
62,0.1,5.156,1.1,0.4,0.1,0.4
63,0.1,5.105,1.1,0.4,0.1,0.4
64,0.1,5.054,1.1,0.4,0.1,0.4
65,0.1,5.003,1.1,0.4,0.1,0.4
66,0.1,4.954,1.1,0.4,0.1,0.4
67,0.1,4.904,1.1,0.4,0.1,0.4
68,0.1,4.855,1.1,0.4,0.1,0.4
69,0.1,4.807,1.1,0.4,0.1,0.4
70,0.1,4.759,1.1,0.4,0.1,0.4
71,0.1,4.712,1.1,0.4,0.1,0.4
72,0.1,4.665,1.1,0.4,0.1,0.4
73,0.1,4.618,1.1,0.4,0.1,0.4
74,0.1,4.572,1.1,0.4,0.1,0.4
75,0.1,4.527,1.1,0.4,0.1,0.4
76,0.1,4.482,1.1,0.4,0.1,0.4
77,0.1,4.437,1.1,0.4,0.1,0.4
78,0.1,4.393,1.1,0.4,0.1,0.4
79,0.1,4.349,1.1,0.4,0.1,0.4
80,0.1,4.306,1.1,0.4,0.1,0.4
81,0.1,4.263,1.1,0.4,0.1,0.4
82,0.1,4.22,1.1,0.4,0.1,0.4
83,0.1,4.178,1.1,0.4,0.1,0.4
84,0.1,4.137,1.1,0.4,0.1,0.4
85,0.1,4.096,1.1,0.4,0.1,0.4
86,0.1,4.055,1.1,0.4,0.1,0.4
87,0.1,4.014,1.1,0.4,0.1,0.4
88,0.1,3.974,1.1,0.4,0.1,0.4
89,0.1,3.935,1.1,0.4,0.1,0.4
90,0.1,3.896,1.1,0.4,0.1,0.4
91,0.1,3.857,1.1,0.4,0.1,0.4
92,0.1,3.818,1.1,0.4,0.1,0.4
93,0.1,3.78,1.1,0.4,0.1,0.4
94,0.1,3.743,1.1,0.4,0.1,0.4
95,0.1,3.705,1.1,0.4,0.1,0.4
96,0.1,3.669,1.1,0.4,0.1,0.4
97,0.1,3.632,1.1,0.4,0.1,0.4
98,0.1,3.596,1.1,0.4,0.1,0.4
99,0.1,3.56,1.1,0.4,0.1,0.4
100,0.1,3.525,1.1,0.4,0.1,0.4
101,0.1,3.489,1.1,0.4,0.1,0.4
102,0.1,3.455,1.1,0.4,0.1,0.4
103,0.1,3.42,1.1,0.4,0.1,0.4
104,0.1,3.386,1.1,0.4,0.1,0.4
105,0.1,3.353,1.1,0.4,0.1,0.4
106,0.1,3.319,1.1,0.4,0.1,0.4
107,0.1,3.286,1.1,0.4,0.1,0.4
108,0.1,3.253,1.1,0.4,0.1,0.4
109,0.1,3.221,1.1,0.4,0.1,0.4
110,0.1,3.189,1.1,0.4,0.1,0.4
111,0.1,3.157,1.1,0.4,0.1,0.4
112,0.1,3.126,1.1,0.4,0.1,0.4
113,0.1,3.095,1.1,0.4,0.1,0.4
114,0.1,3.064,1.1,0.4,0.1,0.4
115,0.1,3.033,1.1,0.4,0.1,0.4
116,0.1,3.003,1.1,0.4,0.1,0.4
117,0.1,2.973,1.1,0.4,0.1,0.4
118,0.1,2.943,1.1,0.4,0.1,0.4
119,0.1,2.914,1.1,0.4,0.1,0.4
120,0.1,2.885,1.1,0.4,0.1,0.4
121,0.1,2.856,1.1,0.4,0.1,0.4
122,0.1,2.828,1.1,0.4,0.1,0.4
123,0.1,2.8,1.1,0.4,0.1,0.4
124,0.1,2.772,1.1,0.4,0.1,0.4
125,0.1,2.744,1.1,0.4,0.1,0.4
126,0.1,2.717,1.1,0.4,0.1,0.4
127,0.1,2.69,1.1,0.4,0.1,0.4
128,0.1,2.663,1.1,0.4,0.1,0.4
129,0.101,2.637,1.1,0.4,0.1,0.4
130,0.101,2.61,1.1,0.4,0.1,0.4
131,0.102,2.584,1.1,0.4,0.1,0.4
132,0.102,2.559,1.1,0.4,0.1,0.4
133,0.103,2.533,1.1,0.4,0.1,0.4
134,0.104,2.508,1.1,0.4,0.1,0.4
135,0.105,2.483,1.1,0.4,0.1,0.4
136,0.106,2.458,1.1,0.4,0.1,0.4
137,0.107,2.434,1.1,0.4,0.1,0.4
138,0.109,2.409,1.1,0.4,0.1,0.4
139,0.11,2.385,1.1,0.4,0.1,0.4
140,0.112,2.362,1.1,0.4,0.1,0.4
141,0.114,2.338,1.1,0.4,0.1,0.4
142,0.116,2.315,1.1,0.4,0.1,0.4
143,0.118,2.292,1.1,0.4,0.1,0.4
144,0.12,2.269,1.1,0.4,0.1,0.4
145,0.122,2.246,1.1,0.4,0.1,0.4
146,0.124,2.224,1.1,0.4,0.1,0.4
147,0.127,2.202,1.1,0.4,0.1,0.4
148,0.13,2.18,1.1,0.4,0.1,0.4
149,0.133,2.158,1.1,0.4,0.1,0.4
150,0.136,2.137,1.1,0.4,0.1,0.4
151,0.139,2.116,1.1,0.4,0.1,0.4
152,0.143,2.095,1.1,0.4,0.1,0.4
153,0.147,2.074,1.1,0.4,0.1,0.4
154,0.151,2.053,1.1,0.4,0.1,0.4
155,0.155,2.033,1.1,0.4,0.1,0.4
156,0.159,2.013,1.1,0.4,0.1,0.4
157,0.164,1.993,1.1,0.4,0.1,0.4
158,0.169,1.973,1.1,0.4,0.1,0.4
159,0.174,1.953,1.1,0.4,0.1,0.4
160,0.18,1.934,1.1,0.4,0.1,0.4
161,0.186,1.915,1.1,0.4,0.1,0.4
162,0.192,1.896,1.1,0.4,0.1,0.4
