f1,f2,f3,f4,f5,target,label
0.4676,4.3671,-0.3752,12.0065,1,0.3792,0
1.7285,1.9378,-0.5106,7.6896,1,6.2736,1
0.9688,4.9333,-2.8309,15.2021,1,-0.9095,0
0.1399,3.9483,-1.2787,12.2245,0,-3.7743,0
0.0625,2.7528,0.6921,10.4878,0,0.389,0
0.642,2.8278,1.3634,8.5655,1,3.2455,1
0.0395,6.0165,-1.5694,7.3084,0,-7.789,0
1.6649,7.785,0.5804,13.5917,0,-0.4518,0
-0.1629,3.3727,-2.9906,7.6515,0,-2.9941,0
-0.2168,4.2734,2.8479,13.3396,0,1.3664,0
-0.8705,6.4319,0.814,12.2785,0,-5.696,0
-0.2331,5.585,-1.5532,9.2265,1,-4.845,0
0.6233,6.3858,-0.9687,6.4748,1,-5.6457,0
1.1329,4.7256,-1.9063,13.1514,1,2.8657,1
0.653,5.3091,1.7467,11.9683,1,0.8904,0
-2.993,4.4196,0.2582,9.8955,0,-7.1017,0
-0.4478,8.8794,-2.7132,8.662,1,-10.841,0
-0.9325,5.7801,-0.3616,12.6286,0,-6.1367,0
-1.1729,5.056,2.5459,4.6475,1,-4.3941,0
1.1946,6.2926,1.934,7.4662,0,-1.1496,0
-0.3937,6.4777,-0.3245,9.6345,1,-5.5139,0
-0.1752,5.4726,2.2202,3.6066,1,1.6072,0
-1.1332,2.2788,-2.6559,8.5444,0,-6.4766,0
0.5308,4.6755,0.6454,10.1561,0,-1.1118,0
0.1265,7.8679,-0.8271,10.7313,0,-6.6876,0
-1.0511,0.6,-0.7679,10.3218,1,-1.3183,0
-1.161,6.7312,-1.5023,13.7023,1,-4.9708,0
-2.199,4.5076,-2.2934,10.7313,0,-11.8339,0
0.8199,4.9625,2.4989,8.4677,0,0.6765,0
-2.0434,6.2701,-0.3293,13.8673,1,-6.0462,0
-0.7762,2.2649,0.3,9.3643,0,-0.3828,0
-0.5442,0.5515,0.8262,10.9698,0,0.2081,0
1.7646,4.6694,-1.5796,7.1633,1,1.2468,0
-2.7952,6.1612,-2.2214,10.8265,1,-11.7785,0
1.5931,4.9919,0.1542,10.671,0,-1.4557,0
0.6162,6.2375,-2.555,6.462,0,-5.6642,0
1.2537,2.5842,0.8388,13.2382,1,9.7294,1
-2.0129,4.9276,1.9883,7.4618,0,-7.2611,0
-0.693,7.822,-0.9239,15.9343,0,-8.233,0
-0.0054,7.8397,0.305,11.7999,0,-4.7353,0
-0.6077,4.9803,2.6496,12.491,1,1.6843,0
0.7072,2.8475,1.9514,10.9006,1,4.7635,1
-0.9934,2.2242,-0.5005,7.7377,1,-3.0814,0
-0.5328,3.6801,-1.5307,11.0798,1,-3.5816,0
0.3152,5.3112,-0.3624,7.9833,0,-3.3802,0
-0.61,7.9409,1.4052,15.2354,0,-8.4922,0
0.0806,2.5995,-2.3629,10.0796,1,0.4815,0
0.0059,5.9025,-1.2587,6.9039,0,-4.6245,0
2.0978,3.9979,1.8809,14.385,0,5.298,1
0.0967,2.659,0.0883,7.423,0,-0.6414,0
0.8438,6.0718,-0.2566,10.2311,0,-0.331,0
1.1103,5.7299,2.294,8.0852,0,-1.234,0
0.6088,3.26,2.2947,9.2821,1,1.2072,0
0.3111,5.1818,0.3709,8.3918,1,-0.185,0
-1.6998,4.9091,-1.3217,14.5206,0,-6.9966,0
0.3114,5.6523,-0.7608,13.8194,1,-1.1258,0
0.0208,3.6681,0.0547,9.0865,0,-1.5802,0
-0.4094,1.4836,0.116,13.7632,0,3.9719,1
-0.6484,7.432,-2.025,14.9108,1,-6.331,0
-0.9894,3.6782,0.0583,6.1481,1,-3.3734,0
0.3848,3.2441,1.0428,13.9401,0,1.8353,0
-0.6444,4.1013,0.9335,13.8827,0,-1.9654,0
-0.2366,2.3955,-1.9769,7.1256,1,-2.9216,0
0.9052,7.4199,-2.8106,11.3716,0,-5.7093,0
-0.9711,5.7543,-0.5222,11.0117,1,-3.2502,0
1.1378,2.661,-2.6263,11.3225,1,3.2271,1
1.1408,4.9731,-0.7391,13.2062,1,1.3075,0
-1.4381,4.1394,2.2059,7.7182,1,-5.4366,0
-0.5033,4.1664,-1.5209,7.9998,1,-3.9569,0
0.2072,1.9029,1.1414,6.5783,1,2.7396,1
-0.3071,7.5376,0.2591,12.3834,1,-5.3058,0
1.7341,3.9831,-1.2573,8.8879,1,5.0238,1
1.2975,3.6574,1.484,11.2628,1,7.6633,1
1.4089,3.7389,-2.1764,7.0192,0,-1.925,0
2.0611,6.3614,-1.646,10.1484,1,1.4322,0
-0.0938,4.0986,1.6246,13.791,0,0.346,0
-1.9496,7.5821,2.2704,8.019,1,-8.1092,0
-0.6231,7.5986,2.4476,13.3167,0,-3.6783,0
0.5305,4.3565,2.2935,13.0285,1,6.3503,1
0.1517,3.7521,1.494,11.7236,0,-0.3026,0
1.2934,5.1508,-2.3562,12.4411,1,0.2689,0
0.4121,4.3118,0.0253,9.2196,1,2.8427,1
0.5791,6.8899,-1.4564,11.9123,1,-0.6556,0
-1.5325,3.6096,-1.947,13.9571,1,-6.5463,0
-0.424,4.9183,1.0155,10.658,1,-0.6948,0
0.1077,4.9081,-0.6986,7.7667,1,-1.961,0
-0.5137,8.035,-2.9314,7.3779,0,-12.9531,0
-0.5527,3.0538,-2.0417,7.3434,1,-6.104,0
-0.5229,2.3446,2.6438,8.5732,0,1.3499,0
-1.0914,5.3011,2.933,6.728,1,-1.5606,0
0.0831,1.4044,1.9536,10.3373,0,0.9273,0
-1.21,4.6088,-0.8293,11.2702,0,-6.2015,0
