day,S,I,R,beta,gamma,new_infected
0,990,10,0,0.3,0.08,2.97
1,987.03,12.17,0.8,0.3,0.08,3.6
2,983.43,14.8,1.77,0.3,0.08,4.37
3,979.06,17.98,2.96,0.3,0.08,5.28
4,973.78,21.83,4.4,0.3,0.08,6.38
5,967.4,26.46,6.14,0.3,0.08,7.68
6,959.72,32.02,8.26,0.3,0.08,9.22
7,950.51,38.67,10.82,0.3,0.08,11.03
8,939.48,46.61,13.91,0.3,0.08,13.14
9,926.34,56.02,17.64,0.3,0.08,15.57
10,910.77,67.1,22.12,0.3,0.08,18.33
11,892.44,80.07,27.49,0.3,0.08,21.44
12,871.0,95.1,33.9,0.3,0.08,24.85
13,846.15,112.34,41.51,0.3,0.08,28.52
14,817.64,131.87,50.49,0.3,0.08,32.35
15,785.29,153.67,61.04,0.3,0.08,36.2
16,749.09,177.58,73.34,0.3,0.08,39.91
17,709.18,203.28,87.54,0.3,0.08,43.25
18,665.94,230.26,103.8,0.3,0.08,46.0
19,619.93,257.84,122.22,0.3,0.08,47.95
20,571.98,285.17,142.85,0.3,0.08,48.93
21,523.05,311.29,165.67,0.3,0.08,48.85
22,474.2,335.23,190.57,0.3,0.08,47.69
23,426.51,356.1,217.39,0.3,0.08,45.56
24,380.95,373.18,245.87,0.3,0.08,42.65
25,338.3,385.97,275.73,0.3,0.08,39.17
26,299.13,394.27,306.61,0.3,0.08,35.38
27,263.75,398.11,338.15,0.3,0.08,31.5
28,232.25,397.76,370.0,0.3,0.08,27.71
29,204.53,393.65,401.82,0.3,0.08,24.15
30,180.38,386.31,433.31,0.3,0.08,20.9
31,159.47,376.31,464.21,0.3,0.08,18.0
32,141.47,364.21,494.32,0.3,0.08,15.46
33,126.01,350.53,523.46,0.3,0.08,13.25
34,112.76,335.74,551.5,0.3,0.08,11.36
35,101.4,320.24,578.36,0.3,0.08,9.74
36,91.66,304.36,603.98,0.3,0.08,8.37
37,83.29,288.38,628.33,0.3,0.08,7.21
38,76.09,272.52,651.4,0.3,0.08,6.22
39,69.87,256.94,673.2,0.3,0.08,5.39
40,64.48,241.77,693.75,0.3,0.08,4.68
41,59.8,227.1,713.09,0.3,0.08,4.07
42,55.73,213.01,731.26,0.3,0.08,3.56
43,52.17,199.53,748.3,0.3,0.08,3.12
44,49.05,186.69,764.27,0.3,0.08,2.75
45,46.3,174.5,779.2,0.3,0.08,2.42
46,43.87,162.96,793.16,0.3,0.08,2.15
47,41.73,152.07,806.2,0.3,0.08,1.9
48,39.83,141.81,818.36,0.3,0.08,1.69
49,38.13,132.16,829.71,0.3,0.08,1.51
50,36.62,123.1,840.28,0.3,0.08,1.35
51,35.27,114.6,850.13,0.3,0.08,1.21
52,34.05,106.65,859.3,0.3,0.08,1.09
