step_idx,s,i,r
0,987.03,11.97,1.0
1,983.48557527,14.31742473,2.197
2,979.2612810609094,17.109976466090693,3.628742473
3,974.2347398189776,20.42552006141342,5.339740119609069
4,968.2649644521681,24.3527434220816,7.382292125750411
5,961.1909919789997,28.99144155304182,9.81756646795857
6,952.8310982394189,34.45219113731847,12.716710623262752
7,942.9829625039813,40.855107759024285,16.1619297369946
8,931.425261339574,48.32729814752909,20.24744051289703
9,917.9212814475047,56.99854822484552,25.080170327649938
10,902.2252273193454,66.99474753052024,30.78002515013449
11,884.0919219233677,78.42857817344594,37.479499903186515
12,863.2905002000441,91.38714207942502,45.32235772053111
13,839.6224047207643,105.9165233507623,54.461071928473615
14,812.9434389101352,122.00383682631508,65.05272426354985
15,783.1887733091905,139.55811874462825,77.25310794618136
16,750.3986677617074,158.39241241764853,91.20891982064418
17,714.7414311831775,178.21040775441358,107.04816106240904
18,676.5291226161394,198.60167554601037,124.8692018378504
19,636.2211774239681,219.0494531835806,144.72936939245145
20,594.4120071184079,238.95367817078275,166.63431471080952
21,551.8009264834616,257.6693909886508,190.5296825278878
22,509.1462638812716,274.5571144919757,216.29662162675288
23,467.209345161588,289.0383217624617,243.75233307595045
24,426.69692365041476,300.64691109738874,272.6561652521966
25,388.21139002933813,309.0677536087265,302.7208563619355
26,352.21630335683153,314.15606492036045,333.62763172280813
27,319.0210369978181,315.93572478733785,365.04323821484417
28,288.783994233924,314.5791950724982,396.63681069357796
29,261.53036329714536,310.374906502027,428.09473020082777
30,237.17862468040758,303.6891544685621,459.13222085103047
31,215.57005188424475,294.9288118178687,489.50113629788666
32,196.49670610452378,284.5092764158028,518.9940174796735
33,179.72516540295777,272.82988947578855,547.4449451212538
34,165.01484629908575,260.2572196320817,574.7279340688326
35,152.13095477034113,247.11538919761816,600.7536560320408
36,140.8527847412177,233.68202030697978,625.4651949518026
37,130.97835574996014,220.18824726753937,648.8333969825005
38,122.32638737518975,206.8213909155558,670.8522217092544
39,114.7364733004062,193.72916589878378,691.53436080081
40,108.06813291920948,181.02458969010212,710.9072773906884
41,102.19923609312688,168.7910275471745,729.0097363596985
42,97.02414187071834,157.0870190148656,745.888839114416
43,92.45177190503438,145.95068707906302,761.5975410159025
44,88.4037520156694,135.4036382605217,776.1926097238088
45,84.81269511802863,125.45433133211029,789.732973549861
46,81.6206591316767,116.10093418525118,802.278406683072
47,78.77778869947562,107.33371119892715,813.8885001015972
48,76.24113497312773,99.13699380538232,824.6218712214899
49,73.97363989546385,91.49078950250797,834.5355706020281
