grid,row,col,value
density,0,0,0.0
density,0,1,0.0
density,0,2,0.0
density,0,3,0.0
density,0,4,0.0
density,0,5,0.0
density,0,6,0.0
density,0,7,0.0
density,0,8,0.0
density,0,9,0.0
density,0,10,0.0
density,0,11,0.0
density,0,12,0.0
density,0,13,0.0
density,0,14,0.0
density,0,15,0.0
density,0,16,0.0
density,0,17,0.0
density,0,18,0.0
density,0,19,0.0
density,0,20,0.0
density,0,21,0.0
density,0,22,0.0
density,0,23,0.0
density,0,24,0.0
density,0,25,0.0
density,0,26,0.0
density,0,27,0.0
density,0,28,0.0
density,0,29,0.0
density,0,30,0.0
density,0,31,0.0
density,0,32,0.0
density,0,33,0.0
density,1,0,0.0
density,1,1,3.832868607004099e-32
density,1,2,6.451171453908182e-31
density,1,3,1.1455472635485862e-30
density,1,4,1.2934289926916248e-27
density,1,5,3.08588020281347e-23
density,1,6,1.0446643103712625e-21
density,1,7,1.051458010305841e-21
density,1,8,1.056885351768892e-21
density,1,9,1.0625668455272955e-21
density,1,10,1.068311884810586e-21
density,1,11,1.0741959855540573e-21
density,1,12,1.0803131490942689e-21
density,1,13,1.0873773847697699e-21
density,1,14,1.0952029065717557e-21
density,1,15,1.103332032210244e-21
density,1,16,1.1113901177011877e-21
density,1,17,1.1212628481952964e-21
density,1,18,6.048995321012405e-22
density,1,19,5.374554235619169e-18
density,1,20,2.9792243821980885e-17
density,1,21,2.979287243397204e-17
density,1,22,2.9793035435069184e-17
density,1,23,2.979294507983498e-17
density,1,24,2.979265144795192e-17
density,1,25,2.979216711038175e-17
density,1,26,2.979147089270373e-17
density,1,27,2.979048329889768e-17
density,1,28,2.9789084511239056e-17
density,1,29,2.92168345739025e-17
density,1,30,5.5072159389806895e-15
density,1,31,1.0471208872479307e-18
density,1,32,2.411285084603242e-20
density,1,33,0.0
density,2,0,0.0
density,2,1,1.4730769064985544e-28
density,2,2,3.328663509223429e-28
density,2,3,1.3267236552949955e-27
density,2,4,2.883984224985046e-27
density,2,5,1.0437492122323189e-21
density,2,6,1.049986203092886e-21
density,2,7,1.0543927107266763e-21
density,2,8,1.0592213028054802e-21
density,2,9,1.0642509971309168e-21
density,2,10,1.0695236008082782e-21
density,2,11,1.0749429052878107e-21
density,2,12,1.08057627970088e-21
density,2,13,1.0870401603996671e-21
density,2,14,1.0940835362884792e-21
density,2,15,1.1013351640411147e-21
density,2,16,1.1085089144086224e-21
density,2,17,1.1148060277042063e-21
density,2,18,1.1270308364168512e-21
density,2,19,2.979445584823079e-17
density,2,20,2.979407951761987e-17
density,2,21,2.9793825887433144e-17
density,2,22,2.9793519416192893e-17
density,2,23,2.9793198604113275e-17
density,2,24,2.979287062160761e-17
density,2,25,2.979255970740134e-17
density,2,26,2.9792291793917727e-17
density,2,27,2.979206720720961e-17
density,2,28,2.984073204396102e-17
density,2,29,1.0562066459085115e-16
density,2,30,6.104447163015477e-11
density,2,31,1.144642341718125e-16
density,2,32,1.332776888499503e-16
density,2,33,0.0
density,3,0,0.0
density,3,1,2.7963616240297007e-24
density,3,2,8.089579574868164e-23
density,3,3,8.089579763858078e-23
density,3,4,8.089579859654359e-23
density,3,5,8.089579883089357e-23
density,3,6,1.05107483616654e-21
density,3,7,1.056469105741769e-21
density,3,8,1.0609103914717237e-21
density,3,9,1.0656344556009463e-21
density,3,10,1.070528223017749e-21
density,3,11,1.0755712968430356e-21
density,3,12,1.080811646848392e-21
density,3,13,1.0867868330474758e-21
density,3,14,1.0932851610646828e-21
density,3,15,1.0999293177204517e-21
density,3,16,1.1065740026087184e-21
density,3,17,1.1132800035452209e-21
density,3,18,1.1237149601576604e-21
density,3,19,2.979451879695172e-17
density,3,20,2.979401783198789e-17
density,3,21,2.979376402823388e-17
density,3,22,2.979347267434869e-17
density,3,23,2.979317249381234e-17
density,3,24,2.979287154846348e-17
density,3,25,2.9792594800039705e-17
density,3,26,2.979236856877972e-17
density,3,27,2.979231506764286e-17
density,3,28,3.0626542006236834e-17
density,3,29,6.140339632239062e-11
density,3,30,6.137885457767409e-11
density,3,31,6.123225902051264e-11
density,3,32,1.4995084328423461e-12
density,3,33,0.0
density,4,0,0.0
density,4,1,8.089517633447472e-23
density,4,2,8.089579891927991e-23
density,4,3,8.089579984224221e-23
density,4,4,8.089580055775813e-23
density,4,5,8.089580098892371e-23
density,4,6,8.089580291500053e-23
density,4,7,1.0571216523494846e-21
density,4,8,1.0626415967557024e-21
density,4,9,1.0669640240384754e-21
density,4,10,1.0715296764227108e-21
density,4,11,1.0761988666289897e-21
density,4,12,1.0810308079584272e-21
density,4,13,1.0865805349557975e-21
density,4,14,1.092585213644959e-21
density,4,15,1.0987870033079533e-21
density,4,16,1.1051101791262864e-21
density,4,17,1.125697749638336e-21
density,4,18,1.3158805567319871e-21
density,4,19,2.993646981099344e-17
density,4,20,2.979402851391105e-17
density,4,21,2.979372601724268e-17
density,4,22,2.9793444703869254e-17
density,4,23,2.9793161537834135e-17
density,4,24,2.979288528803063e-17
density,4,25,2.979272603336555e-17
density,4,26,2.980181512225629e-17
density,4,27,3.0537815325398885e-17
density,4,28,6.169550297126954e-11
density,4,29,6.16419730756203e-11
density,4,30,6.156065206092265e-11
density,4,31,6.149941870906026e-11
density,4,32,6.132037373139483e-11
density,4,33,0.0
density,5,0,0.0
density,5,1,8.089579916485025e-23
density,5,2,8.089580079830133e-23
density,5,3,8.089580155391799e-23
density,5,4,8.089580217438436e-23
density,5,5,8.089580270983358e-23
density,5,6,8.089580368752167e-23
density,5,7,8.089580531966391e-23
density,5,8,1.0629242668293146e-21
density,5,9,1.0683963014087328e-21
density,5,10,1.0724699548154915e-21
density,5,11,1.0767868194041848e-21
density,5,12,1.0812265409138344e-21
density,5,13,1.086353725149123e-21
density,5,14,1.1195689834775027e-21
density,5,15,1.1595576980784043e-21
density,5,16,1.1653406033999522e-21
density,5,17,1.2691713285554205e-21
density,5,18,1.1058841833049925e-18
density,5,19,3.139052513042326e-17
density,5,20,2.9794395447257716e-17
density,5,21,2.9793690409458155e-17
density,5,22,2.9793431171011645e-17
density,5,23,2.97931526090673e-17
density,5,24,2.9792894663892353e-17
density,5,25,2.979291017699501e-17
density,5,26,3.0239592729057743e-17
density,5,27,6.199212162287372e-11
density,5,28,6.193895768006288e-11
density,5,29,6.184430629687318e-11
density,5,30,6.176293394218279e-11
density,5,31,6.168402083001246e-11
density,5,32,6.15768281120504e-11
density,5,33,0.0
density,6,0,0.0
density,6,1,8.089580166111463e-23
density,6,2,8.089580301106579e-23
density,6,3,8.089580358900906e-23
density,6,4,8.089580412292225e-23
density,6,5,8.089580462481458e-23
density,6,6,8.089580586092072e-23
density,6,7,8.089580802189451e-23
density,6,8,8.089581101276431e-23
density,6,9,1.0682100679283902e-21
density,6,10,1.0735029838339712e-21
density,6,11,1.0773161254199801e-21
density,6,12,1.0813537932981394e-21
density,6,13,1.0860992560514744e-21
density,6,14,1.1831839700412478e-21
density,6,15,1.3612045198234086e-21
density,6,16,2.0165457658984283e-21
density,6,17,1.9001966946826223e-16
density,6,18,4.356261717391073e-10
density,6,19,4.3505511740682365e-10
density,6,20,4.3364609555711997e-10
density,6,21,2.999830004511729e-17
density,6,22,2.990935667283441e-17
density,6,23,3.0011802326379155e-17
density,6,24,3.023576658872451e-17
density,6,25,3.126734803725481e-17
density,6,26,6.228907759727479e-11
density,6,27,6.22384485449197e-11
density,6,28,6.214590821669582e-11
density,6,29,6.205883562507483e-11
density,6,30,6.197904947532936e-11
density,6,31,6.190146928563471e-11
density,6,32,6.180449259965757e-11
density,6,33,0.0
density,7,0,0.0
density,7,1,8.089580445264462e-23
density,7,2,8.089580549286823e-23
density,7,3,8.089580590394187e-23
density,7,4,8.089580630189908e-23
density,7,5,8.089580668639205e-23
density,7,6,8.089580824843705e-23
density,7,7,8.089581070777808e-23
density,7,8,8.089581418251934e-23
density,7,9,8.08958203615715e-23
density,7,10,1.072924969935545e-21
density,7,11,1.0780254165510402e-21
density,7,12,1.1251189813030371e-21
density,7,13,1.267824582340088e-21
density,7,14,3.43329360775203e-19
density,7,15,2.8001292764360326e-18
density,7,16,4.3819986168146327e-10
density,7,17,4.3818330008938126e-10
density,7,18,4.381782481607949e-10
density,7,19,4.3766868156946014e-10
density,7,20,4.3702574694488366e-10
density,7,21,4.357799304772529e-10
density,7,22,6.264641723922066e-11
density,7,23,6.261553193704828e-11
density,7,24,6.26089948030201e-11
density,7,25,6.257993773326962e-11
density,7,26,6.253454561150908e-11
density,7,27,6.244158681534992e-11
density,7,28,6.235940719301618e-11
density,7,29,6.228151319822606e-11
density,7,30,6.220972966629926e-11
density,7,31,6.214244930864739e-11
density,7,32,6.206317832069374e-11
density,7,33,0.0
density,8,0,0.0
density,8,1,8.089580738928612e-23
density,8,2,8.089580815056076e-23
density,8,3,8.089580839478102e-23
density,8,4,8.089580863210649e-23
density,8,5,8.089580886362282e-23
density,8,6,8.089581080033742e-23
density,8,7,8.089581364498117e-23
density,8,8,8.089581766504955e-23
density,8,9,8.089582210864517e-23
density,8,10,8.08958287212898e-23
density,8,11,1.0772117450194802e-21
density,8,12,1.2130811853739191e-21
density,8,13,7.718404722482857e-20
density,8,14,4.4379812361279576e-10
density,8,15,4.4298514394315974e-10
density,8,16,4.423777977019607e-10
density,8,17,4.4148624326041996e-10
density,8,18,4.4038761140494354e-10
density,8,19,4.397836097320277e-10
density,8,20,4.393402351878146e-10
density,8,21,4.395906128041623e-10
density,8,22,4.3805608781850355e-10
density,8,23,6.281296932447097e-11
density,8,24,6.279390768384821e-11
density,8,25,6.27725120784152e-11
density,8,26,6.270595794899505e-11
density,8,27,6.26387010552127e-11
density,8,28,6.257282364102247e-11
density,8,29,6.250960816002889e-11
density,8,30,6.245062633205687e-11
density,8,31,6.239547000006467e-11
density,8,32,6.233284482699983e-11
density,8,33,0.0
density,9,0,0.0
density,9,1,8.089581046492081e-23
density,9,2,8.089581096294336e-23
density,9,3,8.089581101787199e-23
density,9,4,8.089581106393699e-23
density,9,5,8.089581110214827e-23
density,9,6,8.089581341860492e-23
density,9,7,8.089581671504782e-23
